☐ Schedule appointment with E&N Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
☐ Bring completed organizer to appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPORTANT TAX DATES - 2025:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual Tax Return Due:,4/15/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1 Estimated Payment Due:,1/15/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2 Estimated Payment Due:,4/15/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extension Deadline:,10/15/25,If filing extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTHLY DEDUCTION SUMMARY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Business,Home Office,Vehicle,Medical,Charitable,Professional,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,100.22,'Business Expenses'!A:A,>=&DATE(2024,1,1),'Business Expenses'!A:A,<&DATE(2024,2,1)),=SUMIFS('Home Office'!E:E,'Home Office'!A:A,>=&DATE(2024,1,1),'Home Office'!A:A,<&DATE(2024,2,1)),=SUMIFS('Vehicle & Travel'!G:G,'Vehicle & Travel'!A:A,>=&DATE(2024,1,1),'Vehicle & Travel'!A:A,<&DATE(2024,2,1)),=SUMIFS('Medical & Health'!F:F,'Medical & Health'!A:A,>=&DATE(2024,1,1),'Medical & Health'!A:A,<&DATE(2024,2,1)),=SUMIFS('Charitable Contributions'!E:E,'Charitable Contributions'!A:A,>=&DATE(2024,1,1),'Charitable Contributions'!A:A,<&DATE(2024,2,1)),=SUMIFS('Professional Development'!E:E,'Professional Development'!A:A,>=&DATE(2024,1,1),'Professional Development'!A:A,<&DATE(2024,2,1)),#REF!
February,127.12,'Business Expenses'!A:A,>=&DATE(2024,2,1),'Business Expenses'!A:A,<&DATE(2024,3,1)),=SUMIFS('Home Office'!E:E,'Home Office'!A:A,>=&DATE(2024,2,1),'Home Office'!A:A,<&DATE(2024,3,1)),=SUMIFS('Vehicle & Travel'!G:G,'Vehicle & Travel'!A:A,>=&DATE(2024,2,1),'Vehicle & Travel'!A:A,<&DATE(2024,3,1)),=SUMIFS('Medical & Health'!F:F,'Medical & Health'!A:A,>=&DATE(2024,2,1),'Medical & Health'!A:A,<&DATE(2024,3,1)),=SUMIFS('Charitable Contributions'!E:E,'Charitable Contributions'!A:A,>=&DATE(2024,2,1),'Charitable Contributions'!A:A,<&DATE(2024,3,1)),=SUMIFS('Professional Development'!E:E,'Professional Development'!A:A,>=&DATE(2024,2,1),'Professional Development'!A:A,<&DATE(2024,3,1)),#REF!
March,100.22,'Business Expenses'!A:A,>=&DATE(2024,3,1),'Business Expenses'!A:A,<&DATE(2024,4,1)),=SUMIFS('Home Office'!E:E,'Home Office'!A:A,>=&DATE(2024,3,1),'Home Office'!A:A,<&DATE(2024,4,1)),=SUMIFS('Vehicle & Travel'!G:G,'Vehicle & Travel'!A:A,>=&DATE(2024,3,1),'Vehicle & Travel'!A:A,<&DATE(2024,4,1)),=SUMIFS('Medical & Health'!F:F,'Medical & Health'!A:A,>=&DATE(2024,3,1),'Medical & Health'!A:A,<&DATE(2024,4,1)),=SUMIFS('Charitable Contributions'!E:E,'Charitable Contributions'!A:A,>=&DATE(2024,3,1),'Charitable Contributions'!A:A,<&DATE(2024,4,1)),=SUMIFS('Professional Development'!E:E,'Professional Development'!A:A,>=&DATE(2024,3,1),'Professional Development'!A:A,<&DATE(2024,4,1)),#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAL SUMMARY FOR TAX PREPARER:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Business Deductions:,24319.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Personal Deductions:,17356.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Mileage Claimed:,375.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing Documentation:,3,receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCLAIMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This tracker is for organizational purposes only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional tax advice recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E&N Tax & Accounting available for consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always consult current tax law for final decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
